Season,Commentor,Time posted,yt-simple-endpoint href 2,Comment,style-scope 2,clean_text_sentiment,words,meaningful_words,sentiment_score
1,@karansarin1986,6 years ago,https://www.youtube.com/watch?v=UVik4I48Ee0&lc=UgyQ7KaEZ3eFJdhppqB4AaABAg,"In India, for $100, you can get...
real wickets.... 
a bat.... 
a ball.... 
chilled beer for the team... 
and a person to run and get those beers from a nearby store",1.7K,"In India, for $100, you can get...
real wickets.... 
a bat.... 
a ball.... 
chilled beer for the team... 
and a person to run and get those beers from a nearby store","['in', 'india', 'for', '100', 'you', 'can', 'get', 'real', 'wickets', 'a', 'bat', 'a', 'ball', 'chilled', 'beer', 'for', 'the', 'team', 'and', 'a', 'person', 'to', 'run', 'and', 'get', 'those', 'beers', 'from', 'a', 'nearby', 'store']","['india', '100', 'real', 'wickets', 'bat', 'ball', 'chilled', 'beer', 'team', 'person', 'run', 'beers', 'nearby', 'store']",0.0
1,@usgalsen,4 years ago,https://www.youtube.com/watch?v=UVik4I48Ee0&lc=UgynZyvvMCbhN7ZIh9t4AaABAg,These 2 did everything right. Those sharks are just intentionally mean for television.,341,These 2 did everything right. Those sharks are just intentionally mean for television.,"['these', '2', 'did', 'everything', 'right', 'those', 'sharks', 'are', 'just', 'intentionally', 'mean', 'for', 'television']","['2', 'everything', 'right', 'sharks', 'intentionally', 'mean', 'television']",0.0
1,@ninjakid0073,5 years ago,https://www.youtube.com/watch?v=UVik4I48Ee0&lc=UgwcltsfhAvKyzBnULF4AaABAg,I legit just watched a pitch where they were shocked to find out that the entrepreneur didn’t have a day job.,219,I legit just watched a pitch where they were shocked to find out that the entrepreneur didn’t have a day job.,"['i', 'legit', 'just', 'watched', 'a', 'pitch', 'where', 'they', 'were', 'shocked', 'to', 'find', 'out', 'that', 'the', 'entrepreneur', 'didn', 't', 'have', 'a', 'day', 'job']","['legit', 'watched', 'pitch', 'shocked', 'find', 'entrepreneur', 'didn', 'day', 'job']",-0.3182
1,@a_literal_brick,5 years ago,https://www.youtube.com/watch?v=UVik4I48Ee0&lc=UgwDWGzrEMdCP80776t4AaABAg,This is the most Australian thing I've ever seen,591,This is the most Australian thing I've ever seen,"['this', 'is', 'the', 'most', 'australian', 'thing', 'i', 've', 'ever', 'seen']","['australian', 'thing', 'ever', 'seen']",0.0
1,@CharlesCorbett,4 years ago,https://www.youtube.com/watch?v=UVik4I48Ee0&lc=UgzU-0gCzhAH8c8JI2h4AaABAg,"Shark: ""I shared a bedroom with my kids to get my business going""

Sorry you had to stoop to the levels of the average lower middle class person lol",650,"Shark: ""I shared a bedroom with my kids to get my business going""

Sorry you had to stoop to the levels of the average lower middle class person lol","['shark', 'i', 'shared', 'a', 'bedroom', 'with', 'my', 'kids', 'to', 'get', 'my', 'business', 'going', 'sorry', 'you', 'had', 'to', 'stoop', 'to', 'the', 'levels', 'of', 'the', 'average', 'lower', 'middle', 'class', 'person', 'lol']","['shark', 'shared', 'bedroom', 'kids', 'business', 'going', 'sorry', 'stoop', 'levels', 'average', 'lower', 'middle', 'class', 'person', 'lol']",0.4019
1,@pauljones4763,6 years ago,https://www.youtube.com/watch?v=UVik4I48Ee0&lc=UgyXsderrM5CzBj3jWR4AaABAg,Aftermath: these entrepreneurs are still in business. So they succeeded,499,Aftermath: these entrepreneurs are still in business. So they succeeded,"['aftermath', 'these', 'entrepreneurs', 'are', 'still', 'in', 'business', 'so', 'they', 'succeeded']","['aftermath', 'entrepreneurs', 'business', 'succeeded']",0.4728
1,@Lommy9999,4 years ago (edited),https://www.youtube.com/watch?v=UVik4I48Ee0&lc=UgyxWpkDlWm_CecxD2p4AaABAg,And how did Janin manage to eat without a salary for 3 years? She had money coming from elsewhere. Probably the husband. Is she trying to impress us by saying she took no salary when most people need a salary to live?,129,And how did Janin manage to eat without a salary for 3 years? She had money coming from elsewhere. Probably the husband. Is she trying to impress us by saying she took no salary when most people need a salary to live?,"['and', 'how', 'did', 'janin', 'manage', 'to', 'eat', 'without', 'a', 'salary', 'for', '3', 'years', 'she', 'had', 'money', 'coming', 'from', 'elsewhere', 'probably', 'the', 'husband', 'is', 'she', 'trying', 'to', 'impress', 'us', 'by', 'saying', 'she', 'took', 'no', 'salary', 'when', 'most', 'people', 'need', 'a', 'salary', 'to', 'live']","['janin', 'manage', 'eat', 'without', 'salary', '3', 'years', 'money', 'coming', 'elsewhere', 'probably', 'husband', 'trying', 'impress', 'us', 'saying', 'took', 'salary', 'people', 'need', 'salary', 'live']",0.264
1,@flazederg6800,4 years ago,https://www.youtube.com/watch?v=UVik4I48Ee0&lc=Ugz9pI0P2-_ceWje_cV4AaABAg,Imagine being proud of the fact that you made your kids live in an office for 3 years.,107,Imagine being proud of the fact that you made your kids live in an office for 3 years.,"['imagine', 'being', 'proud', 'of', 'the', 'fact', 'that', 'you', 'made', 'your', 'kids', 'live', 'in', 'an', 'office', 'for', '3', 'years']","['imagine', 'proud', 'fact', 'made', 'kids', 'live', 'office', '3', 'years']",0.4767
1,@AlanTuringWannabe,5 years ago,https://www.youtube.com/watch?v=UVik4I48Ee0&lc=UgzT8Nmuf3WmNyUqntB4AaABAg,Jenny popped in just to say she was out and grab a free glass of water.,180,Jenny popped in just to say she was out and grab a free glass of water.,"['jenny', 'popped', 'in', 'just', 'to', 'say', 'she', 'was', 'out', 'and', 'grab', 'a', 'free', 'glass', 'of', 'water']","['jenny', 'popped', 'grab', 'free', 'glass', 'water']",0.5106
1,@GrubbyPigeon,5 years ago,https://www.youtube.com/watch?v=UVik4I48Ee0&lc=UgycFYW9gtc7-_QUnZR4AaABAg,This is insane. They probably have children and wives. They didn’t go for it just because they have side jobs!? What knobs,396,This is insane. They probably have children and wives. They didn’t go for it just because they have side jobs!? What knobs,"['this', 'is', 'insane', 'they', 'probably', 'have', 'children', 'and', 'wives', 'they', 'didn', 't', 'go', 'for', 'it', 'just', 'because', 'they', 'have', 'side', 'jobs', 'what', 'knobs']","['insane', 'probably', 'children', 'wives', 'didn', 'side', 'jobs', 'knobs']",-0.4574
1,@whanethewhip,4 years ago,https://www.youtube.com/watch?v=UVik4I48Ee0&lc=Ugxttas07AycQyj8Ay54AaABAg,"Sharks: ""We think you have to devote all of your time to this business alone""
Also Sharks: ""We invest time and money into 100's of businesses.""
-_-",134,"Sharks: ""We think you have to devote all of your time to this business alone""
Also Sharks: ""We invest time and money into 100's of businesses.""
-_-","['sharks', 'we', 'think', 'you', 'have', 'to', 'devote', 'all', 'of', 'your', 'time', 'to', 'this', 'business', 'alone', 'also', 'sharks', 'we', 'invest', 'time', 'and', 'money', 'into', '100', 's', 'of', 'businesses', '_']","['sharks', 'think', 'devote', 'business', 'alone', 'sharks', 'invest', 'money', '100', 'businesses', '_']",0.1027
1,@user-xk9xm1iy8k,6 years ago,https://www.youtube.com/watch?v=UVik4I48Ee0&lc=Ugy1o3bDO7AOuweLBIl4AaABAg,I cannot be the only one who watches shark tank daily,307,I cannot be the only one who watches shark tank daily,"['i', 'cannot', 'be', 'the', 'only', 'one', 'who', 'watches', 'shark', 'tank', 'daily']","['cannot', 'watches', 'shark', 'tank', 'daily']",0.0
1,@SuperNuclearUnicorn,3 years ago,https://www.youtube.com/watch?v=UVik4I48Ee0&lc=UgyQFB7I74dFM4aHU1F4AaABAg,"Glad to see the comments section is sane and mostly understanding how unreasonable it is to expect this man to throw his family in to hard times for a business that may or may not take off.

If I'm a 8 year old kid or something and my dad quits his well paying job to start up an unknown business and I end up having to live in an office or in the car and going without things other kids have I'd probably end up really resenting my dad and that sucks",160,"Glad to see the comments section is sane and mostly understanding how unreasonable it is to expect this man to throw his family in to hard times for a business that may or may not take off.

If I'm a 8 year old kid or something and my dad quits his well paying job to start up an unknown business and I end up having to live in an office or in the car and going without things other kids have I'd probably end up really resenting my dad and that sucks","['glad', 'to', 'see', 'the', 'comments', 'section', 'is', 'sane', 'and', 'mostly', 'understanding', 'how', 'unreasonable', 'it', 'is', 'to', 'expect', 'this', 'man', 'to', 'throw', 'his', 'family', 'in', 'to', 'hard', 'times', 'for', 'a', 'business', 'that', 'may', 'or', 'may', 'not', 'take', 'off', 'if', 'i', 'm', 'a', '8', 'year', 'old', 'kid', 'or', 'something', 'and', 'my', 'dad', 'quits', 'his', 'well', 'paying', 'job', 'to', 'start', 'up', 'an', 'unknown', 'business', 'and', 'i', 'end', 'up', 'having', 'to', 'live', 'in', 'an', 'office', 'or', 'in', 'the', 'car', 'and', 'going', 'without', 'things', 'other', 'kids', 'have', 'i', 'd', 'probably', 'end', 'up', 'really', 'resenting', 'my', 'dad', 'and', 'that', 'sucks']","['glad', 'comments', 'section', 'sane', 'mostly', 'understanding', 'unreasonable', 'expect', 'man', 'throw', 'family', 'hard', 'times', 'business', 'take', 'm', '8', 'year', 'old', 'kid', 'something', 'dad', 'quits', 'paying', 'job', 'start', 'unknown', 'business', 'end', 'live', 'office', 'car', 'going', 'without', 'things', 'kids', 'd', 'probably', 'end', 'really', 'resenting', 'dad', 'sucks']",-0.0754
1,@indeimaus,5 months ago,https://www.youtube.com/watch?v=UVik4I48Ee0&lc=Ugx-WfWMuHflQ2MexcV4AaABAg,someones gotta take that cinematic deep bass boom from the editor,15,someones gotta take that cinematic deep bass boom from the editor,"['someones', 'gotta', 'take', 'that', 'cinematic', 'deep', 'bass', 'boom', 'from', 'the', 'editor']","['someones', 'gotta', 'take', 'cinematic', 'deep', 'bass', 'boom', 'editor']",0.0
1,@exocolt15,5 months ago (edited),https://www.youtube.com/watch?v=UVik4I48Ee0&lc=UgzpkOzpa1FVzpK2wWd4AaABAg,I’m sure it didn’t negatively impact your kids at all. Selfish. Such an example on why rich people suck.,12,I’m sure it didn’t negatively impact your kids at all. Selfish. Such an example on why rich people suck.,"['i', 'm', 'sure', 'it', 'didn', 't', 'negatively', 'impact', 'your', 'kids', 'at', 'all', 'selfish', 'such', 'an', 'example', 'on', 'why', 'rich', 'people', 'suck']","['m', 'sure', 'didn', 'negatively', 'impact', 'kids', 'selfish', 'example', 'rich', 'people', 'suck']",-0.0258
1,@levik8892,5 years ago,https://www.youtube.com/watch?v=UVik4I48Ee0&lc=UgyEEZIMN_K-rZnbKpF4AaABAg,So they want them to risk there full life’s work for an idea,115,So they want them to risk there full life’s work for an idea,"['so', 'they', 'want', 'them', 'to', 'risk', 'there', 'full', 'life', 's', 'work', 'for', 'an', 'idea']","['want', 'risk', 'full', 'life', 'work', 'idea']",-0.1335
1,@rumbled5461,5 years ago,https://www.youtube.com/watch?v=UVik4I48Ee0&lc=UgzDLg6dwSflFhv8RYl4AaABAg,A cooler costs about $30 so your paying $50 for the wicket addition.,28,A cooler costs about $30 so your paying $50 for the wicket addition.,"['a', 'cooler', 'costs', 'about', '30', 'so', 'your', 'paying', '50', 'for', 'the', 'wicket', 'addition']","['cooler', 'costs', '30', 'paying', '50', 'wicket', 'addition']",0.0
1,@lairdriver,5 years ago,https://www.youtube.com/watch?v=UVik4I48Ee0&lc=Ugxd0Jjynw2FBkd0Pal4AaABAg,This shows the one thing that Dragons are guilty of: being out of touch. Sure I'll quit my day job and then do what? I've had my own business before. You can't just  automatically think people are going to quit everything.,144,This shows the one thing that Dragons are guilty of: being out of touch. Sure I'll quit my day job and then do what? I've had my own business before. You can't just  automatically think people are going to quit everything.,"['this', 'shows', 'the', 'one', 'thing', 'that', 'dragons', 'are', 'guilty', 'of', 'being', 'out', 'of', 'touch', 'sure', 'i', 'll', 'quit', 'my', 'day', 'job', 'and', 'then', 'do', 'what', 'i', 've', 'had', 'my', 'own', 'business', 'before', 'you', 'can', 't', 'just', 'automatically', 'think', 'people', 'are', 'going', 'to', 'quit', 'everything']","['shows', 'thing', 'dragons', 'guilty', 'touch', 'sure', 'quit', 'day', 'job', 'business', 'automatically', 'think', 'people', 'going', 'quit', 'everything']",-0.128
1,@maro,4 years ago,https://www.youtube.com/watch?v=UVik4I48Ee0&lc=Ugw9SsyNAuPXV913CiN4AaABAg&pp=0gcJCSIANpG00pGi,I’m addicted and don’t know how to quit watching these videos,119,I’m addicted and don’t know how to quit watching these videos,"['i', 'm', 'addicted', 'and', 'don', 't', 'know', 'how', 'to', 'quit', 'watching', 'these', 'videos']","['m', 'addicted', 'know', 'quit', 'watching', 'videos']",0.0
1,@HansDelacroix,6 years ago,https://www.youtube.com/watch?v=UVik4I48Ee0&lc=UgzljZDIsE4yPWbH7tF4AaABAg&pp=0gcJCSIANpG00pGi,"""you guys are playing it too safe, therefore I am out""",100,"""you guys are playing it too safe, therefore I am out""","['you', 'guys', 'are', 'playing', 'it', 'too', 'safe', 'therefore', 'i', 'am', 'out']","['guys', 'playing', 'safe', 'therefore']",0.5719
1,@RD-vn5pl,5 years ago,https://www.youtube.com/watch?v=UVik4I48Ee0&lc=UgwimvlWfasn4BwoO794AaABAg,It really irks me when these sharks tell people that they can’t run a successful business while still working to provide stability for their families. It’s absolutely ridiculous and makes them sound like complete morons.,121,It really irks me when these sharks tell people that they can’t run a successful business while still working to provide stability for their families. It’s absolutely ridiculous and makes them sound like complete morons.,"['it', 'really', 'irks', 'me', 'when', 'these', 'sharks', 'tell', 'people', 'that', 'they', 'can', 't', 'run', 'a', 'successful', 'business', 'while', 'still', 'working', 'to', 'provide', 'stability', 'for', 'their', 'families', 'it', 's', 'absolutely', 'ridiculous', 'and', 'makes', 'them', 'sound', 'like', 'complete', 'morons']","['really', 'irks', 'sharks', 'tell', 'people', 'run', 'successful', 'business', 'working', 'provide', 'stability', 'families', 'absolutely', 'ridiculous', 'makes', 'sound', 'like', 'complete', 'morons']",0.2975
1,@snaggiz,3 years ago (edited),https://www.youtube.com/watch?v=UVik4I48Ee0&lc=Ugxw6rDkbaxB5TejXrZ4AaABAg,"I respect them for putting their families and their stability first. The product is fun and interesting, I feel the investors were particularly harsh on them for simply valuing what’s truly most important in life.",46,"I respect them for putting their families and their stability first. The product is fun and interesting, I feel the investors were particularly harsh on them for simply valuing what’s truly most important in life.","['i', 'respect', 'them', 'for', 'putting', 'their', 'families', 'and', 'their', 'stability', 'first', 'the', 'product', 'is', 'fun', 'and', 'interesting', 'i', 'feel', 'the', 'investors', 'were', 'particularly', 'harsh', 'on', 'them', 'for', 'simply', 'valuing', 'what', 's', 'truly', 'most', 'important', 'in', 'life']","['respect', 'putting', 'families', 'stability', 'product', 'fun', 'interesting', 'feel', 'investors', 'particularly', 'harsh', 'simply', 'valuing', 'truly', 'important', 'life']",0.9062
1,@theyoyoyuyu1,5 years ago,https://www.youtube.com/watch?v=UVik4I48Ee0&lc=Ugw68N_Fz3xVNkZGcKZ4AaABAg,"he'll drop everything and put his all into the business - ""id never invest in someone with that attitude""",43,"he'll drop everything and put his all into the business - ""id never invest in someone with that attitude""","['he', 'll', 'drop', 'everything', 'and', 'put', 'his', 'all', 'into', 'the', 'business', 'id', 'never', 'invest', 'in', 'someone', 'with', 'that', 'attitude']","['drop', 'everything', 'put', 'business', 'id', 'never', 'invest', 'someone', 'attitude']",-0.2732
1,@maxmackinlay618,6 years ago,https://www.youtube.com/watch?v=UVik4I48Ee0&lc=Ugy9ehaJVnWLtDzhjHt4AaABAg,The sharks expect them to collect centrelink benefits and wait for the phone to ring.,42,The sharks expect them to collect centrelink benefits and wait for the phone to ring.,"['the', 'sharks', 'expect', 'them', 'to', 'collect', 'centrelink', 'benefits', 'and', 'wait', 'for', 'the', 'phone', 'to', 'ring']","['sharks', 'expect', 'collect', 'centrelink', 'benefits', 'wait', 'phone', 'ring']",0.3818
1,@kennedylehane6562,4 years ago,https://www.youtube.com/watch?v=UVik4I48Ee0&lc=UgwZoEAWhy7GtX1L5fd4AaABAg,"Sharks: “You care about your family, and for that reason, I’m out.”",56,"Sharks: “You care about your family, and for that reason, I’m out.”","['sharks', 'you', 'care', 'about', 'your', 'family', 'and', 'for', 'that', 'reason', 'i', 'm', 'out']","['sharks', 'care', 'family', 'reason', 'm']",0.4939
1,@recordgames153,4 years ago,https://www.youtube.com/watch?v=UVik4I48Ee0&lc=UgxbmYrNJPzAPpao0n94AaABAg,"Naomi every morning: “ I don’t know what I want to wear today? Red dress? Maybe a red dress, oh I know, I’ll wear this red dress. Or maybe this red dress?",7,"Naomi every morning: “ I don’t know what I want to wear today? Red dress? Maybe a red dress, oh I know, I’ll wear this red dress. Or maybe this red dress?","['naomi', 'every', 'morning', 'i', 'don', 't', 'know', 'what', 'i', 'want', 'to', 'wear', 'today', 'red', 'dress', 'maybe', 'a', 'red', 'dress', 'oh', 'i', 'know', 'i', 'll', 'wear', 'this', 'red', 'dress', 'or', 'maybe', 'this', 'red', 'dress']","['naomi', 'every', 'morning', 'know', 'want', 'wear', 'today', 'red', 'dress', 'maybe', 'red', 'dress', 'oh', 'know', 'wear', 'red', 'dress', 'maybe', 'red', 'dress']",0.212
1,@ichwill7536,5 years ago,https://www.youtube.com/watch?v=UVik4I48Ee0&lc=UgxHZuw1VF7zas02Jcp4AaABAg,"Yeah i really hope this product thrives cause the pretentiouness of these investors is gross. Not everyone can drop everything to chase something they dream about. 

The fact the don't comprhend this shows there disconnect with average people. Not every inventors got a family with money to spare.",133,"Yeah i really hope this product thrives cause the pretentiouness of these investors is gross. Not everyone can drop everything to chase something they dream about. 

The fact the don't comprhend this shows there disconnect with average people. Not every inventors got a family with money to spare.","['yeah', 'i', 'really', 'hope', 'this', 'product', 'thrives', 'cause', 'the', 'pretentiouness', 'of', 'these', 'investors', 'is', 'gross', 'not', 'everyone', 'can', 'drop', 'everything', 'to', 'chase', 'something', 'they', 'dream', 'about', 'the', 'fact', 'the', 'don', 't', 'comprhend', 'this', 'shows', 'there', 'disconnect', 'with', 'average', 'people', 'not', 'every', 'inventors', 'got', 'a', 'family', 'with', 'money', 'to', 'spare']","['yeah', 'really', 'hope', 'product', 'thrives', 'cause', 'pretentiouness', 'investors', 'gross', 'everyone', 'drop', 'everything', 'chase', 'something', 'dream', 'fact', 'comprhend', 'shows', 'disconnect', 'average', 'people', 'every', 'inventors', 'got', 'family', 'money', 'spare']",0.6258
1,@m.s.1753,5 years ago,https://www.youtube.com/watch?v=UVik4I48Ee0&lc=Ugwjo69FaOU9zgjfpK14AaABAg,You never tell investors that you’ll never be in it full time as you both have jobs to work up to. That’s a no no .,13,You never tell investors that you’ll never be in it full time as you both have jobs to work up to. That’s a no no .,"['you', 'never', 'tell', 'investors', 'that', 'you', 'll', 'never', 'be', 'in', 'it', 'full', 'time', 'as', 'you', 'both', 'have', 'jobs', 'to', 'work', 'up', 'to', 'that', 's', 'a', 'no', 'no']","['never', 'tell', 'investors', 'never', 'full', 'jobs', 'work']",0.2235
1,@veronikalajstrikova373,4 years ago,https://www.youtube.com/watch?v=UVik4I48Ee0&lc=UgyCkwGZquQwpMQWu3F4AaABAg,I cant even believe that Glen Richards has 700 milion net worth. He is really talented.,15,I cant even believe that Glen Richards has 700 milion net worth. He is really talented.,"['i', 'cant', 'even', 'believe', 'that', 'glen', 'richards', 'has', '700', 'milion', 'net', 'worth', 'he', 'is', 'really', 'talented']","['cant', 'even', 'believe', 'glen', 'richards', '700', 'milion', 'net', 'worth', 'really', 'talented']",0.6697
1,@zmoo3788,4 years ago,https://www.youtube.com/watch?v=UVik4I48Ee0&lc=UgxJVODmJFQ4Pzn0E7N4AaABAg,"Honestly, given there is 2 of them working 80 hours a week, thats equivalent to 1 person dedicating all of their time to it.",8,"Honestly, given there is 2 of them working 80 hours a week, thats equivalent to 1 person dedicating all of their time to it.","['honestly', 'given', 'there', 'is', '2', 'of', 'them', 'working', '80', 'hours', 'a', 'week', 'thats', 'equivalent', 'to', '1', 'person', 'dedicating', 'all', 'of', 'their', 'time', 'to', 'it']","['honestly', 'given', '2', 'working', '80', 'hours', 'week', 'thats', 'equivalent', '1', 'person', 'dedicating']",0.4588
1,@837301,6 years ago,https://www.youtube.com/watch?v=UVik4I48Ee0&lc=UgxFBopF8Oavngq_LqZ4AaABAg,"Has Cupholders: “Oh, that’s brilliant!”",22,"Has Cupholders: “Oh, that’s brilliant!”","['has', 'cupholders', 'oh', 'that', 's', 'brilliant']","['cupholders', 'oh', 'brilliant']",0.0
1,@jaygusman,6 years ago,https://www.youtube.com/watch?v=UVik4I48Ee0&lc=UgxhLF0lGAKAewqQpi14AaABAg,If that ain't the aussiest thing on shark tank....,58,If that ain't the aussiest thing on shark tank....,"['if', 'that', 'ain', 't', 'the', 'aussiest', 'thing', 'on', 'shark', 'tank']","['ain', 'aussiest', 'thing', 'shark', 'tank']",0.0
1,@astronemir,5 years ago,https://www.youtube.com/watch?v=UVik4I48Ee0&lc=Ugx91KBFRJm4N6aHWON4AaABAg,The reason they don’t have approval in India is because they didn’t grease the right palms.,34,The reason they don’t have approval in India is because they didn’t grease the right palms.,"['the', 'reason', 'they', 'don', 't', 'have', 'approval', 'in', 'india', 'is', 'because', 'they', 'didn', 't', 'grease', 'the', 'right', 'palms']","['reason', 'approval', 'india', 'didn', 'grease', 'right', 'palms']",0.4767
